n,x,y
14701,333.0,255.0
14733,332.5,255.0
14765,331.0,256.5
14795,330.5,256.5
14844,330.5,255.5
14873,331.0,256.0
14906,331.0,256.5
14936,331.0,256.5
14968,331.0,255.5
14998,331.0,255.0
15032,330.5,256.0
15063,329.5,256.5
15095,329.0,256.0
15125,329.0,256.0
15156,328.0,256.5
15202,327.5,257.0
15234,326.0,257.0
15266,325.5,257.0
15298,325.0,257.0
15329,323.5,257.0
15360,322.0,257.0
15391,321.5,256.5
15423,320.5,256.5
15455,320.0,256.5
15485,319.0,256.5
15515,318.5,256.5
15563,317.0,256.5
15594,316.0,256.5
15642,316.0,256.0
15673,314.5,256.5
15704,314.0,256.5
15734,313.5,256.5
15767,313.5,256.0
15796,313.0,256.5
15828,313.0,256.0
15860,312.0,255.5
15891,311.5,254.5
15925,310.5,255.0
15953,309.5,254.5
15984,307.5,254.5
16015,306.5,254.5
16062,304.5,254.5
16093,303.0,255.0
16140,303.0,256.0
16172,301.0,256.0
16203,302.0,257.0
16234,301.5,257.0
16265,302.0,257.0
16295,303.0,256.5
16327,303.0,256.5
16357,303.5,257.0
16389,304.5,257.5
16419,305.5,257.5
16452,307.0,257.0
16498,308.0,257.0
16528,309.0,256.5
16560,309.0,256.5
16591,309.5,256.5
16622,309.0,256.5
16654,309.5,257.0
16701,309.0,256.0
16734,309.0,256.0
16764,309.0,256.0
16796,309.0,256.5
16829,308.5,256.5
16858,308.5,256.5
16905,308.0,257.0
16934,308.0,256.5
16966,308.0,257.5
16995,308.5,256.5
17027,309.0,257.5
17057,307.5,258.0
17091,308.5,258.5
17122,309.0,258.0
17152,309.0,258.0
17182,309.5,258.0
17215,309.5,257.5
17262,310.0,257.5
17293,309.5,257.5
17322,309.5,257.5
17370,309.5,257.0
17401,309.5,257.0
17434,310.0,257.0
17465,310.0,256.5
17495,309.5,256.0
17529,309.0,256.0
17560,309.0,256.0
17590,309.0,256.0
17621,309.0,256.0
17653,309.0,256.0
17684,309.0,255.5
17712,308.5,255.5
17792,308.5,256.0
17820,308.0,256.0
17853,308.5,255.5
17885,308.0,255.5
17914,308.5,255.5
17946,308.5,256.0
17976,308.5,255.5
18008,308.5,255.5
18041,308.5,255.5
18070,309.0,255.5
18102,309.0,255.5
18133,309.0,255.5
18195,309.0,255.5
18227,309.5,255.5
18258,309.0,256.0
18291,309.5,255.5
18321,309.5,255.5
18354,309.0,255.5
18385,310.0,255.5
18415,309.5,255.5
18445,310.0,255.5
18478,309.5,255.5
18509,309.5,255.5
18541,309.5,255.5
18588,310.0,255.5
18635,310.0,255.5
18666,310.0,255.5
18699,310.0,255.5
18728,310.5,255.5
18759,310.0,255.5
18790,310.0,256.0
18821,310.0,255.5
18853,309.5,255.5
18882,310.0,256.0
18914,309.5,256.0
18947,310.0,255.5
18977,309.5,255.5
19024,309.5,255.5
19057,309.5,255.5
19088,309.5,255.5
19120,309.0,255.5
19151,309.0,255.5
19182,309.5,255.5
19213,309.5,255.5
19244,309.5,255.5
19275,309.0,255.5
19308,308.5,256.0
19339,309.0,256.0
19383,309.5,256.0
19414,309.0,256.5
19462,309.5,256.5
19494,309.0,255.5
19523,309.0,255.5
19554,309.5,256.0
19587,308.5,256.0
19617,309.5,256.5
19650,309.5,256.5
19680,310.0,256.0
19711,309.5,256.0
19743,310.0,256.5
19776,310.0,256.0
19807,310.0,256.5
19838,310.5,256.5
19901,310.0,257.0
19931,310.0,257.0
19963,309.5,256.0
19994,310.5,256.5
20024,310.5,256.0
20055,310.0,256.5
20087,310.0,257.0
20117,310.0,257.0
20150,310.0,257.0
20180,310.0,257.0
20211,310.0,257.5
20242,310.0,257.5
